listing_id,id,date,reviewer_id,reviewer-name,comments
8974302,39624554,2018-04-03,11508,John,Cute and cozy place. Perfect location to everything!
8974302,39624555,2018-04-06,11509,Karen,"Kelly has a great room in a very central location.
Beautiful building , architecture and a style that we really like.
We felt quite at home here and wish we had spent more time.
Went for a walk and found Seattle Center with a major food festival in progress. What a treat.
Visited the Space Needle and the Chihuly Glass exhibit. Then Pikes Place Market. WOW.  Thanks for a great stay."
8974302,39624556,2018-04-09,11510,James,"Very spacious apartment, and in a great neighborhood.  This is the kind of apartment I wish I had!
Didn't really get to meet Kelly until I was on my out, but she was always readily available by phone.
I believe the only ""issue"" (if you want to call it that) was finding a place to park, but I sincerely doubt its easy to park anywhere in a residential area after 5 pm on a Friday"
8974302,39624557,2018-04-16,11511,Brian,"Close to Seattle Center and all it has to offer - ballet, theater, museum, Space Needle, restaurants of all ilk just blocks away, and the Metropolitan (probably the coolest grocer you'll ever find). Easy to find and Kelly was warm, welcoming, and really interesting to talk to. "
8974302,39624558,2018-04-21,11512,Kim,"Kelly was a great host and very accommodating in a great neighborhood. She has some great coffee and while I wasn't around much during my stay the time I spent interacting with her was very pleasant.
The apartment is in a great location and very close to the Seattle Center. The neighborhood itself has a lot of good food as well!"
8974302,39624559,2018-05-03,11513,Johnny,"Kelly was great, place was great, just what I was looking for-
clean, simple, well kept place.
5 min walk to the Seattle bike share (as of Aug 2015) which I used all week."
8974302,39624560,2018-05-09,11514,Sophia,Kelly was great! Very nice and the neighborhood and place to stay was expected and comfortable. Overall great and would book again.
8974302,39624561,2018-05-16,11515,Gabriel,"Kelly's place is conveniently located on a quiet street in Lower Queen Anne which is an easy walk or bus/cab ride to Belltown and Downtown in addition to being a booming neighborhood in its own right. Alas, I was visiting my job and old friends in Seattle so my schedule was completely full and I barely got to meet Kelly. Which is too bad, she seemed great!"
8974302,39624562,2018-05-26,11516,Tom,"The place was really nice, clean and quiet at night.
Clean Linen and Towels were provided and the air mattress was superb.
The neighbourhood is practical with a lot of restaurants and cafes around. Downtown is reachable by foot (30 min) or bus (10 min).
Kelly was a fantastic host, although I was working most of the time, so I haven't had time to talk much to her."
8974302,39624563,2018-06-01,11517,Sheila ,"The listing was exactly as described!  Kelly's place was wonderful and clean.  it was just what we were looking for.
We only got to meet her for a moment one evening because of our varied schedule, but she was warm and welcoming to us.
Her place is also in good walking distance to City Center!  Lots to do right around there!
We would recommend her place to others who are traveling to Seattle!"
8974302,39624564,2018-06-09,11518,Paal,Very welcoming and a nicer place to live in the Seattle area
8974302,39624565,2018-06-14,11519,Eu-Loong,"Great location, great price, great host! Thanks for the wine, coffee and interesting conversation. You'll definitely see me again when I visit next."
8974302,39624566,2018-06-22,11520,Olivia,"Staying at Kelly's was easy. The location was a block away from public transportation, her place was easy to find, keys were easy to access and timing was extremely flexible. Great for the price - nothing too fancy. One negative: the shower didn't drain well. "
8974302,39624567,2018-07-03,11521,Daniel,Kelly was an amazing host who made the stay very pleasurable. Her location is ideal for anyone visiting Seattle. Highly recommended
8974302,39624568,2018-07-05,11522,Max,"Despite our late booking request, Kelly was very responsive and helpful over email. It was a great place to stay - the location was ideal, the house was clean, well-furnished, the room was cozy, and the cat made good company. Overall, a lovely experience and I would definitely recommend the Farmhouse! "
8974302,39624569,2018-07-11,11523,Kevin,Kelly has a nice house closed to downtown. The room was clean. The kitten is really nice and friendly. A good place to stay!
8974302,39624570,2018-07-16,11524,Sarah,"Kelly has been the perfect hosts for us. Our schedule was very tight and she has been very helpful for the check-in and the reservation.
The house is conveniently located, spacious, and beautiful. The room has space for luggages or coats in a big closet. You are given a spare key, so you're free to go in and out.
We have felt really comfortable with our hosts and really recommend this house as a place to stay if you're going to Seattle."
8974302,39624571,2018-07-24,11525,Rachel,"This house was a delightful bright place to stay! Kelly was so nice, they had breakfast for us in the morning. And when we arrived their lovely cat Brigette greeted us and made everything cozy!"
8974302,39624572,2018-08-03,11526,Ben,"Beautiful place, nice neighborhood and lovely hose & cat!
Would definitely sleep there again!"
8974302,39624573,2018-08-11,11527,Craig,"Super cozy home. Located near some good restaurants and bars. The only time we really spent at the house was while we were sleeping because we were busy sightseeing on our only day in Seattle, but we would love to stay there again. The cat was an added bonus!
The only downside was that their room was right next to ours so we felt like we needed to be extra quiet. We also had to wake up very early and we felt bad that Kelly’s room was right next to ours, but I'm sure they're used to it!
Another bonus was that they had wonderful looking bread and beverages available for us in the morning, but unfortunately we didn't have time to enjoy them! "
8974302,39624574,2018-08-19,11528,Lee,"Cute house, and Kelly was a super nice host.  Very prompt communication, clean, comfortable rooms, simple and relaxing decor. Thanks guys!"
8974302,39624575,2018-08-22,11529,Ali,"Kelly was a really great host. Warm, welcoming, and friendly. I felt immediately at ease in their place. The space was very comfortable, clean, and as advertised. She knows a lot about Seattle, so are good resources to have when you are there. Her cat is friendly and amusing. I would definitely stay here again! Highly recommended. "
8974302,39624576,2018-08-28,11530,Oliver,"The house was easy to locate and the arrangement to get in works fine even the host was not there when I arrived.
Everything consistent with the description and Kelly has provided useful information to get around the area.
It takes a bit more than expected to walk to the downtown though. "
8974302,39624577,2018-09-03,11531,Will,"Kelly was a very obliging host, super friendly and communicative. She gave us valuable tips to explore Seattle and even invited us to go to a concert with her - a super experience! The room and the bed provided enough space for two, very comfortable furthermore. The bathroom and the kitchen were clean and we could find everything we needed. All in all a wonderful stay, there was nothing to complain about at all!"
8974302,39624578,2018-09-11,11532,Sam,"What a great stay at Kelly’s! She was accommodating hosts and we felt instantly at ease in her home. She was very kind letting our group of four stay at her home, and very flexible with check-in and check-out times.
The house is warm, charming, and located in a quiet neighborhood within walking distance of many of Seattle's sights. "
8974302,39624579,2018-09-16,11533,Callum,We had an amazing time and felt very welcome in Kelly’s beautiful home. The location was perfect and we could easily walk to one of Seattle's coolest areas. Our room was peaceful and the bed was very comfortable. Overall we had a fantastic stay and would highly recommend this place to anyone.
8974302,39624580,2018-09-26,11534,Ned,"It was very easy to get in touch with Kelly to book a space in her beautiful home. She was a very gracious host who shared her morning coffee with us while she was getting ready for work. Our room was very cozy and the rest of the house is open & beautifully decorated - if we didn't have other plans it would have been easy to lounge there all day, especially with their friendly kitty! The farmhouse is located in a great neighborhood that is quite easy to access the city - because the weather was so wonderful during our stay, my friend & I walked to the downtown waterfront which only took about 35 minutes. I would highly recommend staying here - I will again when I return to Seattle."
8974302,39624581,2018-10-02,11535,Alex,"Kelly’s home is beautiful and inspiring! We were only there for a brief time but they made us feel at home. And Brigitte, the cat, is the friendliest cat I've ever met.
The location is very convenient, barely 2 miles from downtown and Capitol Hill.
Also, You'll have fun browsing through some of the interesting art + doodads around the house"
